Date,,Volume,Open,High,Low
10/2/17,,267375,1282.2,1282.8,1272
10/3/17,,202951,1273.1,1277.4,1271
10/4/17,,266333,1274.5,1285,1273.1
10/5/17,,217774,1277.5,1281.6,1268.5
10/6/17,,361565,1270.6,1279.2,1262.8
10/9/17,,195058,1278.6,1288,1277.7
10/10/17,,308402,1286.8,1296.7,1284.6
10/11/17,,258782,1290.7,1295.9,1286.8
10/12/17,,239955,1294.6,1299.8,1291.8
10/13/17,,290549,1296,1306.4,1292.9
10/16/17,,265876,1306,1308.4,1292.5
10/17/17,,328145,1297.2,1298.4,1283.2
10/18/17,,250218,1286.9,1290.8,1278.6
10/19/17,,345419,1282.8,1292.8,1277.6
10/20/17,,308883,1292,1292.9,1279.3
10/23/17,,276923,1281.5,1284.7,1273.6
10/24/17,,262004,1283.9,1285.3,1274.8
10/25/17,,368454,1278,1281.3,1272
10/26/17,,377535,1278.6,1283.8,1266.4
10/27/17,,352515,1268,1275.2,1263.8
10/30/17,,253987,1274.3,1279.9,1269.8
10/31/17,,264613,1277.6,1279.1,1268.3
11/1/17,,376514,1271.8,1281.9,1268.5
11/2/17,,374063,1275.2,1285.1,1274
11/3/17,,361591,1277.5,1281.2,1265.9
11/6/17,,340658,1270.7,1283.9,1266.4
11/7/17,,327931,1282.6,1282.8,1272.3
11/8/17,,346077,1276.4,1288.1,1276.1
11/9/17,,20559,1286,1287.7,1285.4
11/10/17,,342281,1286,1287.7,1273.6
11/13/17,,213187,1275.3,1279.9,1274.4
11/14/17,,342150,1278.9,1283.8,1269.7
11/15/17,,417251,1280.7,1290,1276.5
11/16/17,,268021,1278,1281.8,1274.9
11/17/17,,368094,1278.8,1297.5,1278.1
11/20/17,,399552,1294.1,1295.1,1274.1
11/21/17,,315463,1276.6,1284.5,1275.8
11/22/17,,5008,1296.1,1296.4,1293.7
11/24/17,,83375,1296.1,1297.6,1289.5
11/27/17,,143791,1292,1303.4,1290.7
11/28/17,,224246,1298.8,1301.3,1294.5
11/29/17,,370799,1298,1300.4,1285.1
11/30/17,,331729,1286.9,1288.4,1273.1
12/1/17,,421344,1277.9,1292.5,1274.2
12/4/17,,250246,1277.6,1280.5,1273.5
12/5/17,,311493,1279.1,1279.8,1263.2
12/6/17,,239509,1268.3,1271.8,1264.8
12/7/17,,305430,1265.2,1266.8,1245.8
12/8/17,,270293,1249.5,1254.4,1244.4
12/11/17,,185028,1249.2,1253.4,1242.4
12/12/17,,216831,1243.9,1247.9,1238.3
12/13/17,,296022,1246.3,1259.7,1242.3
12/14/17,,252441,1258.1,1261.6,1252.8
12/15/17,,230959,1255.5,1264.5,1255.2
12/18/17,,202834,1257.8,1267,1255.3
12/19/17,,196646,1265.4,1268.6,1262.3
12/20/17,,198670,1264.8,1271.4,1264.4
12/21/17,,188932,1268.8,1272.5,1266
12/22/17,,180314,1270.3,1280.4,1268.4
12/26/17,,130981,1279,1288.4,1277.7
12/27/17,,193217,1287.8,1293.2,1286
12/28/17,,213624,1292,1297.3,1290.5
12/29/17,,226714,1297.5,1309.8,1296.1
1/2/18,,269072,1305.3,1320.4,1304.6
1/3/18,,342866,1319,1323,1308.9
1/4/18,,350803,1315.5,1327.3,1307.1
1/5/18,,322422,1324.4,1324.7,1314.6
1/8/18,,238332,1321.8,1323,1315.7
1/9/18,,321636,1321.2,1321.4,1309.5
1/10/18,,382605,1313.3,1328.6,1308.9
1/11/18,,254541,1317.5,1324.7,1316.1
1/12/18,,44651,1337.3,1342.4,1334.9
1/16/18,,472155,1340.9,1345,1332.1
1/17/18,,358312,1339,1344.5,1326.6
1/18/18,,305093,1327.4,1333.3,1324.3
1/19/18,,268077,1327,1338.2,1326.6
1/22/18,,325008,1334,1335.8,1328
1/23/18,,354786,1333,1341.5,1330.7
1/24/18,,147749,1346.2,1366.8,1344.1
1/25/18,,140915,1362.7,1370.5,1346.2
1/26/18,,139946,1352.7,1361,1348.6
1/29/18,,224553,1353.7,1356.3,1340.9
1/30/18,,394887,1344,1352.5,1337.5
1/31/18,,365063,1341.8,1351,1335.5
2/1/18,,301115,1348.2,1354.3,1340.2
2/2/18,,416513,1352.2,1353.3,1330.1
2/5/18,,298950,1334.6,1344.8,1331.6
2/6/18,,457363,1343.1,1349.3,1322.8
2/7/18,,335680,1326.6,1334.8,1313.5
2/8/18,,349123,1320.7,1324.5,1309
2/9/18,,306980,1321,1325,1313.2
2/12/18,,203283,1317.1,1330,1316.3
2/13/18,,192998,1325,1333.5,1323.7
2/14/18,,405262,1331.9,1358.6,1319.1
2/15/18,,251537,1353,1359.8,1350.8
2/16/18,,21489,1350.2,1356.2,1349.5
2/20/18,,357520,1348.9,1354,1330.6
2/21/18,,244241,1331.2,1338.5,1324.4
2/22/18,,201972,1326.2,1334.4,1322.9
2/23/18,,165052,1333.7,1334.2,1327.7
2/26/18,,237905,1330.4,1342.9,1328
2/27/18,,710,1331.7,1332.6,1312.7
2/28/18,,251263,1318.9,1323.7,1316.7
3/1/18,,395651,1319.3,1322.3,1303.6
3/2/18,,256112,1318,1326.6,1316.2
3/5/18,,215468,1324.9,1328.9,1318.3
3/6/18,,269691,1321,1339.9,1320.8
3/7/18,,297281,1339.5,1342,1323
3/8/18,,241811,1326.2,1329.8,1319.6
3/9/18,,336571,1322.7,1325.9,1313.2
3/12/18,,214392,1324.1,1325,1315.3
3/13/18,,321790,1323.3,1328.8,1313.8
3/14/18,,247027,1326.7,1330.5,1321.7
3/15/18,,241746,1324.7,1328.1,1314.9
3/16/18,,277568,1316.8,1321.8,1309.5
3/19/18,,283944,1312.9,1319.6,1307.4
3/20/18,,281146,1316.5,1318.1,1306.6
3/21/18,,451237,1310.6,1336.9,1309.5
3/22/18,,70121,1338,1340.8,1330.3
3/23/18,,124800,1335.5,1356.3,1334.7
3/26/18,,187073,1350.6,1361.8,1349.2
3/27/18,,24159,1351.1,1352.2,1347.9
3/28/18,,358319,1351.1,1352.2,1327.7
3/29/18,,235348,1329.3,1332.6,1325.4
4/2/18,,4979,1336.3,1355.1,1335.1
4/3/18,,276654,1345,1346.6,1332.7
4/4/18,,334886,1336.7,1352.5,1335.2
4/5/18,,266243,1337.1,1338.7,1326
4/6/18,,361181,1329.7,1339.1,1322.6
4/9/18,,222038,1338,1341.5,1330.1
4/10/18,,278138,1339.8,1346.2,1334.2
4/11/18,,467541,1343.1,1369.4,1342.5
4/12/18,,374672,1356.3,1356.7,1336.7
4/13/18,,253937,1337.6,1350.3,1335.5
4/16/18,,258382,1349.8,1353.5,1342.8
4/17/18,,267744,1349.1,1352.2,1340.2
4/18/18,,298749,1350.4,1359,1345
